Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,TimeStamp,Year,Month,Day,Hour,Minute,Second
3.81,3.65,3.93,1.72,0.38,2.15,0.83,-2.87,1.56,-3.03,-3.13,-2.34,354.12,21.22,296.86,-52.44,-53.45,-38.99,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 09:45:00,2021,3,19,9,45,0
3.81,3.65,3.93,1.72,0.38,2.15,0.83,-2.87,1.56,-3.03,-3.13,-2.34,354.12,21.22,296.86,-52.44,-53.45,-38.99,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 12:10:00,2021,3,19,12,10,0
3.16,3.16,3.16,0.33,0.33,0.33,-0.51,-0.51,-0.51,-3.1,-3.1,-3.1,302.79,302.79,302.79,-78.92,-78.92,-78.92,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 12:15:00,2021,3,19,12,15,0
3.24,3.24,3.36,0.52,0.52,1.9,-0.79,-0.79,-0.58,-3.1,-3.1,-2.71,323.32,303.47,343.16,-73.04,-73.04,-53.73,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 12:20:00,2021,3,19,12,20,0
3.24,3.24,3.36,0.52,0.52,1.9,-0.79,-0.79,-0.58,-3.1,-3.1,-2.71,323.32,303.47,343.16,-73.04,-73.04,-53.73,4.65,4.56,4.93,435.1,432.4,446.1,71053,67791,76639,2021-03-19 12:25:00,2021,3,19,12,25,0
3.36,3.36,3.36,1.9,1.9,1.9,-0.58,-0.58,-0.58,-2.71,-2.71,-2.71,343.16,343.16,343.16,-53.73,-53.73,-53.73,3.38,3.38,3.38,297.56,297.56,297.56,21049,21049,21049,2021-03-19 12:30:00,2021,3,19,12,30,0
3.28,3.22,3.45,1.77,1.76,1.92,-0.72,-0.74,-0.52,-2.73,-2.77,-2.6,341.04,338.19,343.64,-55.02,-56.02,-52.54,3.87,3.36,4.15,295.29,295.09,297.51,18964,18840,22326,2021-03-19 12:35:00,2021,3,19,12,35,0
3.24,2.98,3.48,1.8,1.55,1.86,-0.2,-0.77,0.09,-2.79,-2.96,-2.24,351.5,1.87,353.67,-58.17,-60.85,-48.83,4.0,3.81,4.48,297.2,295.96,299.17,21625,18697,24790,2021-03-19 12:40:00,2021,3,19,12,40,0
3.32,3.2,3.37,1.65,1.47,1.72,-0.12,-0.16,-0.05,-2.87,-2.93,-2.82,356.23,354.42,358.19,-60.46,-62.59,-58.96,4.02,3.33,4.28,299.17,297.68,299.58,22591,21274,24841,2021-03-19 12:45:00,2021,3,19,12,45,0
3.38,3.25,3.46,1.71,1.04,1.93,-0.08,-0.28,0.04,-2.98,-3.19,-2.76,356.4,2.28,358.02,-60.06,-71.89,-54.74,4.05,2.79,4.26,302.5,299.03,304.86,24456,22377,27181,2021-03-19 12:50:00,2021,3,19,12,50,0
3.07,3.04,3.65,0.55,0.55,1.66,-0.12,-0.24,0.4,-3.0,-3.54,-2.96,12.69,30.9,352.32,-77.12,-77.95,-60.82,3.63,3.07,4.49,302.54,300.61,310.84,22068,12569,32125,2021-03-19 12:55:00,2021,3,19,12,55,0
2.98,2.96,3.13,0.39,0.32,0.45,0.77,0.62,0.79,-2.87,-3.02,-2.82,62.04,58.31,67.21,-73.64,-75.75,-72.36,2.9,2.77,3.4,300.02,299.24,302.0,17048,14501,18357,2021-03-19 13:00:00,2021,3,19,13,0,0
3.15,3.14,3.17,0.55,0.5,0.84,0.67,0.64,0.81,-3.01,-3.02,-2.97,47.62,37.39,57.07,-71.99,-73.08,-70.38,3.77,3.25,4.42,297.57,297.47,299.19,13428,13063,16265,2021-03-19 13:05:00,2021,3,19,13,5,0
3.07,3.02,3.23,0.81,0.8,1.13,0.8,0.73,0.89,-2.87,-2.99,-2.66,41.6,36.22,46.91,-67.6,-68.52,-61.56,3.0,2.92,3.92,297.07,297.07,299.34,15906,13377,17002,2021-03-19 13:10:00,2021,3,19,13,10,0
3.06,3.02,3.16,1.15,1.1,1.21,0.9,0.86,0.98,-2.66,-2.79,-2.63,37.99,35.43,41.61,-61.16,-62.2,-60.57,3.39,2.88,4.22,297.56,297.14,300.15,14036,13374,16818,2021-03-19 13:15:00,2021,3,19,13,15,0
3.08,3.05,3.14,1.45,0.99,1.5,0.48,0.34,0.92,-2.69,-2.84,-2.63,23.93,12.73,42.88,-60.55,-64.63,-59.68,4.21,3.3,4.53,299.77,297.82,301.61,15144,13470,17700,2021-03-19 13:20:00,2021,3,19,13,20,0
2.73,2.67,2.82,1.47,1.46,1.47,0.17,0.09,0.24,-2.29,-2.39,-2.23,6.55,3.64,9.43,-57.17,-58.17,-56.58,3.0,2.81,3.81,298.23,297.18,300.87,15514,13354,21582,2021-03-19 13:25:00,2021,3,19,13,25,0
2.86,2.81,2.88,1.51,1.46,1.52,0.32,0.23,0.44,-2.41,-2.43,-2.36,12.27,8.66,16.03,-57.6,-58.26,-56.37,4.45,3.96,4.62,297.52,297.4,297.93,14308,13884,14919,2021-03-19 13:30:00,2021,3,19,13,30,0
2.93,2.89,2.94,1.54,1.38,1.64,0.44,0.43,0.47,-2.41,-2.54,-2.4,16.36,15.19,18.74,-56.29,-60.17,-54.84,4.52,4.25,4.67,297.37,297.21,298.01,14976,13936,17364,2021-03-19 13:35:00,2021,3,19,13,35,0
2.81,2.75,2.91,1.48,1.44,1.52,0.5,0.42,0.57,-2.33,-2.47,-2.27,18.19,15.73,21.65,-56.12,-58.14,-55.17,4.03,2.92,4.08,297.35,297.01,299.01,15161,13707,16925,2021-03-19 13:40:00,2021,3,19,13,40,0
3.0,2.92,3.05,1.39,1.32,1.53,0.47,0.34,0.75,-2.58,-2.7,-2.47,19.61,14.39,26.14,-61.37,-62.54,-55.35,4.48,4.29,4.75,296.97,296.63,297.57,12785,11789,13292,2021-03-19 13:45:00,2021,3,19,13,45,0
3.01,2.79,3.18,1.37,1.21,1.4,0.55,0.4,0.7,-2.6,-2.79,-2.45,22.96,18.21,26.62,-61.43,-62.97,-59.86,4.41,4.3,4.5,297.29,295.3,297.63,12756,10889,13692,2021-03-19 13:50:00,2021,3,19,13,50,0
2.91,2.78,3.01,1.08,0.99,1.22,0.77,0.64,0.88,-2.6,-2.69,-2.42,34.68,27.56,41.29,-62.38,-64.01,-60.4,4.08,2.89,4.39,294.45,293.63,295.63,12750,11085,15647,2021-03-19 13:55:00,2021,3,19,13,55,0
2.89,2.85,2.93,1.4,1.37,1.48,0.52,0.41,0.57,-2.47,-2.51,-2.43,19.17,15.89,22.19,-58.73,-59.15,-58.05,4.44,4.28,4.67,294.77,294.47,295.61,12689,11785,14440,2021-03-19 14:00:00,2021,3,19,14,0,0
3.0,2.85,3.02,1.46,1.36,1.58,0.57,0.5,0.6,-2.51,-2.57,-2.45,20.6,17.73,22.59,-58.02,-59.37,-56.21,4.59,4.54,4.74,295.49,295.15,295.79,12733,12588,13204,2021-03-19 14:05:00,2021,3,19,14,5,0
2.96,2.89,3.06,1.51,1.24,1.63,0.59,0.47,0.69,-2.43,-2.7,-2.41,21.6,17.25,27.59,-56.68,-62.53,-54.94,4.14,3.58,4.33,294.64,291.92,295.28,12967,11388,13862,2021-03-19 14:10:00,2021,3,19,14,10,0
3.02,2.98,3.06,1.49,1.37,1.57,0.57,0.49,0.82,-2.53,-2.69,-2.44,22.35,18.11,27.42,-58.19,-61.51,-54.0,4.41,4.33,4.67,294.73,291.92,295.95,12967,11566,13606,2021-03-19 14:15:00,2021,3,19,14,15,0
2.97,2.69,3.03,1.63,1.59,1.66,0.71,0.65,1.14,-2.39,-2.47,-1.79,25.54,21.72,34.62,-53.85,-54.54,-41.72,4.38,4.29,4.71,294.63,294.14,294.86,13845,12067,14423,2021-03-19 14:20:00,2021,3,19,14,20,0
2.72,2.69,2.73,1.68,1.63,1.75,0.9,0.84,1.0,-1.92,-1.97,-1.91,28.0,25.6,31.06,-44.75,-46.97,-44.55,4.51,4.11,4.54,295.15,294.69,295.45,13370,12829,14507,2021-03-19 14:25:00,2021,3,19,14,25,0
2.85,2.73,2.95,1.84,1.62,1.97,0.97,0.92,0.99,-2.0,-2.01,-1.9,28.06,26.47,29.49,-43.82,-47.08,-41.78,4.29,4.01,4.71,294.8,294.24,295.63,14384,10943,15304,2021-03-19 14:30:00,2021,3,19,14,30,0
2.79,2.75,3.04,1.89,1.79,2.07,0.96,0.94,1.02,-1.84,-2.01,-1.76,26.87,24.96,27.97,-40.97,-42.69,-39.7,4.35,4.29,4.49,296.29,294.54,296.68,14145,12422,15741,2021-03-19 14:35:00,2021,3,19,14,35,0
2.88,2.69,2.97,1.83,1.61,1.96,0.84,0.61,1.3,-2.06,-2.14,-1.73,26.78,18.4,38.78,-44.01,-48.06,-39.83,4.39,4.36,4.61,295.58,294.85,296.1,14629,13039,15390,2021-03-19 14:40:00,2021,3,19,14,40,0
2.74,2.69,2.76,1.66,1.64,1.69,1.41,1.13,1.44,-1.69,-1.79,-1.67,38.64,33.98,41.25,-37.69,-41.55,-37.25,4.35,3.68,4.5,296.34,296.3,296.4,14438,12691,15923,2021-03-19 14:45:00,2021,3,19,14,45,0
2.65,2.62,2.73,1.56,1.48,1.67,0.95,0.88,1.01,-1.9,-1.97,-1.87,30.82,29.93,31.54,-46.22,-48.84,-44.27,4.53,4.51,4.72,296.05,295.33,296.5,14636,12854,15708,2021-03-19 14:50:00,2021,3,19,14,50,0
2.71,2.67,2.87,1.51,1.36,1.56,0.9,0.63,0.95,-2.07,-2.33,-1.98,28.77,25.01,31.28,-49.7,-57.2,-47.41,4.6,4.4,4.79,295.78,295.48,296.14,14266,12529,14706,2021-03-19 14:55:00,2021,3,19,14,55,0
2.74,2.69,2.81,1.6,1.45,1.72,0.86,0.84,0.94,-2.06,-2.17,-1.99,28.97,25.91,30.58,-47.73,-52.19,-47.02,4.45,3.44,5.13,295.21,293.2,295.54,13479,11121,15903,2021-03-19 15:00:00,2021,3,19,15,0,0
2.74,2.69,2.82,1.6,1.5,1.67,0.99,0.97,1.07,-2.0,-2.03,-1.98,32.25,30.34,34.12,-46.88,-47.67,-45.12,4.56,4.06,4.84,294.06,293.16,294.49,12865,12606,13536,2021-03-19 15:05:00,2021,3,19,15,5,0
2.75,2.68,2.76,1.56,1.5,1.66,1.0,0.92,1.09,-1.98,-2.01,-1.93,32.8,29.05,34.93,-46.33,-47.69,-45.62,4.53,4.29,4.71,293.91,293.0,294.66,12940,10717,13421,2021-03-19 15:10:00,2021,3,19,15,10,0
2.74,2.7,2.75,1.54,1.51,1.55,1.1,1.02,1.11,-1.96,-2.03,-1.95,35.36,33.64,36.06,-46.41,-47.63,-45.79,4.45,3.84,4.74,294.2,293.18,294.54,12102,11831,15023,2021-03-19 15:15:00,2021,3,19,15,15,0
2.69,2.67,2.75,1.52,1.46,1.59,1.02,0.93,1.09,-1.99,-2.06,-1.93,33.85,31.55,35.34,-48.1,-48.59,-45.16,4.47,4.4,4.74,293.58,293.44,293.91,12313,11528,13312,2021-03-19 15:20:00,2021,3,19,15,20,0
2.68,2.62,2.94,1.6,1.53,1.65,1.05,0.94,1.13,-1.87,-2.26,-1.76,32.87,29.92,35.8,-45.31,-50.34,-42.32,3.65,2.99,4.6,293.22,292.45,294.19,12754,12110,14696,2021-03-19 15:25:00,2021,3,19,15,25,0
2.64,2.59,2.7,1.49,1.41,1.54,1.09,1.01,1.09,-1.88,-1.94,-1.86,35.9,35.16,37.41,-45.94,-48.11,-44.74,4.08,3.17,4.97,293.34,292.36,295.44,13392,11119,13759,2021-03-19 15:30:00,2021,3,19,15,30,0
2.71,2.66,2.71,1.59,1.55,1.68,1.12,1.1,1.21,-1.84,-1.86,-1.79,35.37,33.65,37.24,-42.71,-44.41,-41.64,4.32,3.38,4.63,293.06,292.48,293.82,14129,13576,15011,2021-03-19 15:35:00,2021,3,19,15,35,0
2.81,2.77,2.82,1.57,1.49,1.59,1.24,1.21,1.27,-1.97,-2.03,-1.92,38.57,37.29,39.6,-44.57,-46.26,-43.79,4.31,2.87,4.64,293.66,292.55,295.69,14306,12232,16407,2021-03-19 15:40:00,2021,3,19,15,40,0
2.82,2.77,2.83,1.82,1.79,1.85,1.19,1.02,1.29,-1.79,-1.87,-1.69,32.61,29.74,35.15,-39.13,-42.25,-37.11,4.78,4.38,4.84,293.11,292.94,294.01,12860,10340,14174,2021-03-19 15:45:00,2021,3,19,15,45,0
2.81,2.7,2.87,1.8,1.71,1.85,1.11,1.01,1.15,-1.84,-1.9,-1.82,31.42,30.44,31.99,-42.07,-42.55,-40.36,5.36,4.82,5.82,293.49,293.1,294.41,13924,13079,14469,2021-03-19 15:50:00,2021,3,19,15,50,0
2.81,2.74,2.85,1.91,1.77,2.04,1.01,0.98,1.06,-1.74,-1.84,-1.67,27.9,25.74,31.03,-38.06,-41.23,-36.49,4.95,4.36,5.95,295.55,294.72,296.46,15832,14600,16504,2021-03-19 15:55:00,2021,3,19,15,55,0
2.88,2.86,2.89,2.05,2.03,2.08,1.04,1.0,1.07,-1.72,-1.76,-1.71,26.91,26.09,27.58,-36.9,-37.83,-36.31,5.26,4.88,5.68,295.17,294.84,295.57,14338,13266,15119,2021-03-19 16:00:00,2021,3,19,16,0,0
2.89,2.88,2.92,2.11,2.09,2.16,1.05,1.01,1.09,-1.67,-1.71,-1.62,26.3,25.51,26.97,-35.18,-36.34,-33.8,4.92,3.55,5.53,294.78,294.27,295.25,14268,13329,16320,2021-03-19 16:05:00,2021,3,19,16,5,0
2.95,2.91,2.98,2.26,2.21,2.3,0.9,0.9,0.95,-1.66,-1.67,-1.64,22.07,21.27,23.25,-34.27,-34.37,-33.96,5.24,4.42,5.47,295.23,294.62,297.53,17172,14424,38439,2021-03-19 16:10:00,2021,3,19,16,10,0
2.98,2.93,3.07,2.26,2.25,2.32,0.98,0.9,1.03,-1.71,-1.73,-1.58,23.09,21.81,24.01,-34.35,-35.03,-32.7,5.14,4.22,5.64,294.32,293.5,295.06,14818,12895,15372,2021-03-19 16:15:00,2021,3,19,16,15,0
2.92,2.83,2.98,2.36,2.22,2.44,0.88,0.78,1.0,-1.49,-1.53,-1.42,20.99,18.21,24.28,-30.96,-31.65,-29.22,5.53,5.37,5.76,292.93,292.36,293.41,12347,11029,14731,2021-03-19 16:20:00,2021,3,19,16,20,0
3.02,2.96,3.07,2.52,2.42,2.56,0.78,0.7,0.86,-1.52,-1.54,-1.51,17.33,15.5,19.5,-30.14,-30.74,-29.66,5.51,3.57,5.79,292.39,292.2,292.76,14090,10849,17029,2021-03-19 16:25:00,2021,3,19,16,25,0
3.02,3.01,3.07,2.47,2.42,2.48,0.86,0.76,0.92,-1.56,-1.64,-1.48,19.08,17.12,20.92,-31.15,-32.34,-29.36,5.88,5.55,5.95,292.52,292.2,292.84,14601,12987,15441,2021-03-19 16:30:00,2021,3,19,16,30,0
3.07,2.99,3.12,2.53,2.45,2.67,0.77,0.5,0.96,-1.56,-1.69,-1.4,16.8,10.62,21.27,-30.54,-32.86,-27.27,5.49,4.1,5.84,292.46,291.69,293.27,12500,11620,14853,2021-03-19 16:35:00,2021,3,19,16,35,0
3.07,2.95,3.11,2.47,2.37,2.53,0.84,0.55,0.91,-1.67,-1.69,-1.48,17.61,12.34,20.7,-32.69,-33.92,-30.19,4.87,3.91,5.77,293.14,292.73,294.05,13262,11555,14761,2021-03-19 16:40:00,2021,3,19,16,40,0
2.75,2.69,2.77,2.27,2.17,2.35,0.66,0.5,0.75,-1.4,-1.43,-1.33,15.96,11.94,19.0,-30.83,-31.38,-28.99,5.36,4.41,5.5,293.24,292.65,294.77,13160,12221,15190,2021-03-19 16:45:00,2021,3,19,16,45,0
2.71,2.67,2.87,2.33,2.19,2.38,0.64,0.4,0.75,-1.38,-1.47,-1.29,14.3,9.74,17.82,-30.71,-30.91,-28.85,4.42,3.69,4.78,292.89,291.72,293.42,15024,11375,16160,2021-03-19 16:50:00,2021,3,19,16,50,0
2.7,2.68,2.72,2.26,2.23,2.3,0.55,0.45,0.64,-1.35,-1.41,-1.33,13.33,11.03,16.11,-30.26,-31.14,-29.56,5.33,4.03,5.55,292.96,291.51,293.91,14855,14282,18872,2021-03-19 16:55:00,2021,3,19,16,55,0
2.83,2.78,2.86,2.43,2.37,2.71,0.45,0.0,0.56,-1.36,-1.39,-0.87,7.75,0.04,13.24,-29.19,-29.47,-17.82,5.57,5.17,5.89,292.14,291.14,292.33,13462,11538,14043,2021-03-19 17:00:00,2021,3,19,17,0,0
2.81,2.76,2.91,2.67,2.63,2.78,-0.13,-0.28,-0.09,-0.84,-0.89,-0.79,356.39,353.84,358.05,-16.88,-18.36,-16.68,5.43,4.79,5.81,291.4,289.88,291.55,13923,12322,16473,2021-03-19 17:05:00,2021,3,19,17,5,0
2.81,2.72,2.86,2.67,2.58,2.75,-0.52,-0.61,-0.44,-0.61,-0.71,-0.59,348.84,346.68,350.73,-13.03,-14.67,-12.05,5.48,5.25,5.59,290.48,290.32,292.33,14670,11882,15810,2021-03-19 17:10:00,2021,3,19,17,10,0
2.69,2.57,2.75,2.54,2.35,2.6,-0.56,-0.6,-0.53,-0.69,-0.91,-0.68,347.28,346.9,347.82,-14.74,-20.77,-14.52,5.59,5.41,6.08,291.13,290.35,291.64,14666,12949,15318,2021-03-19 17:15:00,2021,3,19,17,15,0
2.5,2.3,2.75,2.03,1.85,2.25,0.17,-0.29,1.22,-1.2,-1.64,-1.06,10.53,4.89,352.63,-28.91,-36.52,-24.97,4.31,4.11,6.09,296.36,292.46,300.19,19504,15375,23118,2021-03-19 17:20:00,2021,3,19,17,20,0
2.83,2.77,2.97,1.52,1.34,2.24,1.53,0.84,1.7,-1.75,-2.04,-1.41,38.84,20.48,51.76,-39.11,-43.4,-30.37,5.52,5.09,6.07,296.37,295.26,297.72,19479,15396,23315,2021-03-19 17:25:00,2021,3,19,17,25,0
2.73,2.71,3.03,1.84,1.57,1.89,1.18,1.12,1.68,-1.63,-1.79,-1.58,36.56,30.67,46.97,-36.39,-38.0,-35.62,5.81,5.73,6.32,295.15,294.99,298.0,18730,18507,20125,2021-03-19 17:30:00,2021,3,19,17,30,0
2.91,2.72,2.99,1.91,1.88,2.25,1.04,0.99,1.6,-1.63,-1.76,-1.55,31.53,23.88,39.98,-35.07,-36.87,-32.34,6.08,5.69,6.32,297.04,294.78,297.59,19588,18733,21115,2021-03-19 17:35:00,2021,3,19,17,35,0
3.22,3.04,3.34,1.77,1.66,1.81,2.03,1.63,2.36,-1.83,-1.89,-1.43,49.0,42.05,54.97,-34.38,-36.88,-26.28,6.31,5.5,6.5,297.97,297.61,299.72,19022,15746,20242,2021-03-19 17:40:00,2021,3,19,17,40,0
3.17,3.12,3.19,1.69,1.54,1.92,1.94,1.55,2.05,-1.89,-1.96,-1.79,47.27,38.87,53.16,-37.25,-38.03,-34.4,6.04,5.64,6.39,298.61,297.51,298.7,19419,18348,20461,2021-03-19 17:45:00,2021,3,19,17,45,0
3.26,3.12,3.39,1.81,1.7,1.88,2.0,1.91,2.12,-1.83,-1.93,-1.79,48.47,47.7,49.51,-34.51,-34.93,-33.3,6.41,6.17,6.57,298.94,298.42,299.38,18806,16382,19444,2021-03-19 17:50:00,2021,3,19,17,50,0
3.53,3.38,3.6,1.84,1.47,2.0,2.19,2.12,2.53,-2.02,-2.09,-1.88,51.32,46.82,59.87,-34.95,-35.52,-33.82,6.29,5.55,6.83,299.87,298.44,300.75,19529,18462,20213,2021-03-19 17:55:00,2021,3,19,17,55,0
3.61,3.41,3.68,2.27,1.99,2.44,1.94,1.82,1.98,-2.03,-2.1,-1.76,40.25,37.7,42.42,-33.99,-37.79,-30.31,6.06,5.2,6.38,297.98,297.0,299.35,18568,16852,19697,2021-03-19 18:00:00,2021,3,19,18,0,0
3.34,3.29,3.5,2.17,2.12,2.29,2.06,1.76,2.26,-1.51,-1.72,-1.36,43.08,38.76,46.74,-26.96,-31.46,-24.07,6.6,6.28,6.61,300.31,299.87,301.51,19302,18552,21692,2021-03-19 18:05:00,2021,3,19,18,5,0
3.4,3.29,3.44,2.38,2.25,2.46,1.89,1.8,1.99,-1.45,-1.59,-1.35,38.65,36.14,41.46,-26.05,-27.61,-23.67,5.62,5.31,6.22,300.72,299.51,301.32,20603,18949,20905,2021-03-19 18:10:00,2021,3,19,18,10,0
3.48,3.45,3.54,2.74,2.55,2.8,1.83,1.76,1.97,-1.1,-1.36,-0.94,34.52,32.42,37.7,-18.52,-22.89,-15.68,6.53,5.63,6.63,300.09,299.5,300.95,19225,17958,19975,2021-03-19 18:15:00,2021,3,19,18,15,0
3.37,3.34,3.39,2.91,2.89,2.95,1.44,1.26,1.67,-0.83,-1.06,-0.5,26.48,23.26,29.81,-14.36,-18.31,-8.55,6.65,6.48,6.85,300.47,300.43,300.89,19527,18858,19905,2021-03-19 18:20:00,2021,3,19,18,20,0
3.41,3.38,3.48,3.03,2.93,3.14,1.04,0.87,1.2,-1.2,-1.29,-1.1,18.96,16.08,22.24,-20.59,-22.28,-18.4,6.2,5.82,6.91,300.34,297.99,301.45,21028,18565,25021,2021-03-19 18:25:00,2021,3,19,18,25,0
3.31,3.17,3.46,2.96,2.83,3.03,0.61,0.6,1.03,-1.31,-1.36,-1.25,13.43,11.13,18.76,-23.33,-24.5,-22.12,6.39,5.63,6.9,299.71,297.95,300.47,19811,17360,20940,2021-03-19 18:30:00,2021,3,19,18,30,0
3.23,3.18,3.26,2.8,2.74,2.87,0.65,0.17,0.75,-1.57,-1.67,-1.3,9.96,3.55,14.93,-29.09,-31.25,-24.21,6.3,5.09,6.61,300.03,299.43,302.72,19610,18735,20611,2021-03-19 18:35:00,2021,3,19,18,35,0
3.16,3.06,3.3,2.66,2.52,2.81,0.58,0.44,0.75,-1.61,-1.72,-1.56,12.66,9.14,16.52,-30.66,-31.81,-29.81,6.14,5.76,6.63,300.07,299.92,301.79,19119,17442,20708,2021-03-19 18:40:00,2021,3,19,18,40,0
3.06,3.03,3.19,2.52,2.46,2.57,0.73,0.7,0.88,-1.61,-1.71,-1.57,16.8,15.55,19.14,-31.62,-32.37,-31.18,6.36,6.25,7.02,299.2,298.82,299.33,18862,18319,19258,2021-03-19 18:45:00,2021,3,19,18,45,0
3.06,2.83,3.14,2.3,2.24,2.49,1.06,0.46,1.54,-1.47,-1.66,-1.4,24.83,11.04,34.44,-30.11,-32.12,-27.32,6.36,5.72,6.65,299.66,298.96,301.47,20693,18895,21001,2021-03-19 18:50:00,2021,3,19,18,50,0
3.27,3.09,3.36,2.74,2.6,2.81,0.74,0.48,0.95,-1.61,-1.66,-1.44,14.93,9.83,19.2,-30.19,-30.44,-26.34,6.2,5.93,6.52,298.48,297.55,300.29,18921,16275,20018,2021-03-19 18:55:00,2021,3,19,18,55,0
3.06,2.98,3.14,2.61,2.52,2.66,0.5,0.09,0.61,-1.52,-1.56,-1.49,9.12,2.06,12.92,-30.5,-30.75,-29.12,6.13,5.63,6.69,297.32,296.06,298.03,18720,15677,21482,2021-03-19 19:00:00,2021,3,19,19,0,0
3.08,3.03,3.15,2.56,2.51,2.63,0.64,0.6,0.77,-1.6,-1.67,-1.51,14.41,13.09,16.46,-30.41,-32.88,-29.42,5.87,4.83,6.05,297.67,297.14,297.86,18362,16966,18990,2021-03-19 19:05:00,2021,3,19,19,5,0
2.82,2.57,3.05,2.48,2.27,2.51,0.54,0.42,0.75,-1.24,-1.58,-1.13,12.75,9.88,16.77,-26.62,-31.32,-24.73,6.16,6.02,6.39,298.74,297.94,299.14,20954,15156,21196,2021-03-19 19:10:00,2021,3,19,19,10,0
2.67,2.62,2.69,2.23,2.15,2.31,0.68,0.59,0.78,-1.28,-1.38,-1.17,17.18,14.45,19.55,-28.78,-31.17,-26.49,5.81,5.52,6.16,299.25,298.55,301.86,22288,19921,23287,2021-03-19 19:15:00,2021,3,19,19,15,0
2.74,2.61,2.93,2.2,2.14,2.26,1.08,0.75,1.46,-1.21,-1.3,-1.12,26.53,19.23,33.01,-25.42,-29.85,-23.9,5.73,4.72,6.23,299.21,298.43,300.44,21024,19826,23532,2021-03-19 19:20:00,2021,3,19,19,20,0
3.08,3.01,3.12,2.13,2.03,2.2,1.94,1.63,2.16,-1.25,-1.37,-0.52,42.1,36.5,45.43,-24.5,-26.31,-9.79,6.11,5.96,6.16,299.65,299.52,300.36,19472,19211,21253,2021-03-19 19:25:00,2021,3,19,19,25,0
2.99,2.87,3.14,2.01,1.86,2.34,1.91,1.19,2.2,-1.2,-1.41,-1.12,39.1,26.87,49.81,-23.74,-26.66,-21.9,5.96,5.26,6.42,300.5,298.85,301.66,20639,18351,22000,2021-03-19 19:30:00,2021,3,19,19,30,0
2.95,2.77,2.99,2.39,2.25,2.47,0.93,0.75,1.24,-1.31,-1.44,-1.3,21.47,17.91,27.38,-27.69,-31.4,-25.8,5.49,4.67,6.48,301.91,300.79,303.7,22143,20744,23270,2021-03-19 19:35:00,2021,3,19,19,35,0
3.36,3.2,3.38,2.37,2.29,2.47,1.83,1.73,2.03,-1.4,-1.49,-1.35,38.01,36.44,41.18,-25.67,-26.21,-23.64,6.54,5.49,6.76,301.85,300.58,303.1,17706,17130,20994,2021-03-19 19:40:00,2021,3,19,19,40,0
3.39,3.32,3.53,2.59,2.54,2.7,1.73,1.61,2.12,-1.22,-1.39,-1.21,34.64,30.79,39.76,-21.1,-24.26,-20.16,5.67,4.44,7.43,301.72,301.62,302.35,18571,16402,20647,2021-03-19 19:45:00,2021,3,19,19,45,0
3.69,3.62,3.77,2.93,2.78,2.97,1.85,1.66,1.86,-1.39,-1.41,-1.36,31.94,29.5,33.86,-21.95,-22.47,-21.66,6.43,5.41,7.01,300.51,300.08,301.0,16361,15468,16974,2021-03-19 19:50:00,2021,3,19,19,50,0
3.71,3.69,3.73,2.74,2.68,2.86,1.99,1.83,2.02,-1.53,-1.59,-1.49,35.49,32.58,36.64,-24.42,-25.43,-23.52,6.74,5.75,7.11,301.29,300.52,301.85,18533,16322,19817,2021-03-19 19:55:00,2021,3,19,19,55,0
3.8,3.67,3.89,2.93,2.77,3.01,2.01,1.7,2.09,-1.45,-1.62,-1.35,33.74,29.48,35.48,-22.38,-25.15,-20.79,6.83,5.52,7.01,301.92,300.91,303.2,18064,17097,22040,2021-03-19 20:00:00,2021,3,19,20,0,0
4.25,4.02,4.31,3.34,3.14,3.54,1.53,1.07,1.57,-2.12,-2.22,-1.71,22.21,16.8,25.93,-29.85,-31.18,-25.14,6.34,4.87,7.19,301.31,300.07,303.67,17854,14727,22252,2021-03-19 20:05:00,2021,3,19,20,5,0
4.38,4.26,4.44,3.67,3.55,3.71,0.45,0.2,0.86,-2.34,-2.37,-2.19,8.72,3.11,13.46,-32.02,-32.36,-30.97,6.59,6.54,6.96,301.78,300.95,302.96,17269,16851,19411,2021-03-19 20:10:00,2021,3,19,20,10,0
4.32,4.03,4.35,3.69,3.44,3.74,0.51,0.25,0.63,-2.16,-2.22,-2.05,7.49,3.91,9.66,-30.23,-30.87,-29.69,5.65,4.64,6.5,302.81,300.74,302.81,18239,17857,21406,2021-03-19 20:15:00,2021,3,19,20,15,0
4.42,4.3,4.55,3.68,3.64,3.8,0.6,0.43,0.68,-2.36,-2.46,-2.16,8.98,6.51,10.61,-32.11,-33.25,-30.18,6.94,5.4,7.57,301.63,300.67,302.33,17172,15916,20043,2021-03-19 20:20:00,2021,3,19,20,20,0
